ID,Type,Source if not TB,ch,Category1,cat2,101_2019,101_2019_mock,time_to_solve,"Question text, with answer",Advanced ver,older version,Difficulty,Comments_DR,Maths,BEE2024-2016_May_exam,BEE2024_2016_practice,2016_resit,beem101_2016-17_practice,Beem101_2016/17-midterm,final_2017,101_final_2017,2017_resit,2017_resit_101,2018_101_final,common_errors,Category2,2018_2024_final,Variation,2018-19_101_midterm,2019_final,2019_notes,alt-2024,2018_resit_101,2019_resit,2019-mock
demand_perfect_complements,"solve, draw, explain","TB, modified language",,Demand curves,,,,12,"\question[25] \underline{Demand curves}
John M. Countryside makes \pounds 50 per week at his summer job and spends his entire weekly income on lager and crisps,
because these are the only two items that provide utility to him. Furthermore, John only values a pint of lager if he can have two packets of crisps to go with it, and he only values crisps if he can have a half pint of lager to go with each packet of crisps.

For the purpose of this question, assume that lager and crisps can be consumed in any fractional amount, so John could gain utility, e.g., from 0.2 packs of crisps and 0.1 pints of lager.

\begin{parts}

\part (3 marks) State John's utility function formally (i.e., as a mathematical function).

\begin{solution}

His preferences can be characterised by the utility function $U(\ell,c)=min(2\ell,c)$, where $\ell$ is the number of pints of lager and $c$ the number of packets of crisps he consumes.

Any `min' function where the first argument has a coefficient twice the seocnd argument (e.g., $min(\ell, c/2)$) is also correct)
\end{solution}

\part (5 marks) If lager costs \pounds 3 per pint and crisps cost \pounds 1 per packet, how many will John buy of each in a week?

\begin{solution}

Income $I = 50$

\medskip

$2\ell = c$ at optimum

\medskip

$P_\ell \ell + P_c c = 3\ell + c = 50$

\medskip

At optimum (substituting in $c=2\ell$) we have $3\ell + 2\ell = 50$

$\rightarrow \ell= 50/5=10 \rightarrow c = 2\ell=20$

\medskip

So John buys 10 pints of lager and 20 packets of crisps per week.

\end{solution}

\part (3 marks)  Now suppose that the price of crisps rises to \pounds 2 per packet. How many pints of lager and packets of crisps will he buy?

\begin{solution}

Again, consider the `bundles' John will always buy, of 1 pint of lager and 2 packets of crisps.

Now a bundle costs $\pounds 3 + 2 \times \pounds 2 = \pounds 7$ so he can afford only 50/7, or a little over 7 bundles.

So he will buy 7 pints and 14 packets of crisps (7.14 pints and 14.29 packets of crisps is also an acceptable answer).

\end{solution}

\part (7 marks) Show your results by graphing the budget constraints from part a and part b. (Let lager be on the vertical axis). Also draw John's indifference curves.

\begin{solution}

%\includegraphics[height=3in]{picsfigs/jeansshoes_perfectcomplements.png}

For the initial prices the budget constraint should begin at the vertical axis, where $\ell=50/3$ and $c=0$. It slopes downwards with slope -1/3 (for each pint less consumed, you can consume 3 more packets of crisps), and intersects the horizontal axis at $\ell=0$ and $c=50$

\medskip

At the new prices the budget constraint begins at the same point, but the slope is now $-2/3$ (for each two pints of lager given up, John can buy three packets of crisps), and it intersects the horizontal axis at $c=50/2=25$.

\medskip

John's indifference curves are L-shaped since he gains utility only when pints of lager and packets of crisps are purchased in a one to two proportion. The vertex of each `L' should be at the point where $c=2\ell$.

These indifference curves should intersect the original budget constraint at $\ell=10, c=20$, and intersect the new budget constraint at roughly $\ell=7.14, c=14.29$.

\end{solution}

\part (3 marks) To what effect (income or substitution) do you attribute the change in utility levels between part a and part b? Explain.

\begin{solution}
The change from U2 to U1 is entirely attributable to the income effect.
There is no substitution effect due to John's insistence on a fixed proportion of crisps and lager; for every utility level, there is only a single cost-minimising bundles.

In other words, there is no way to `substitute lager for crisps' and maintain the same utility.

\end{solution}

\part (4 marks) In this example, what is the income elasticity of demand for lager? Is lager an `inferior good', a `luxury good,' or neither. Explain.

\begin{solution}


As income increases, demand for lager will increase proportionally, as both goods are consumed in fixed proportions. Thus the income elasticity is 1 (unit elastic).

Lager is neither an inferior good nor a luxury good.

\medskip
An inferior good is one where the quantity demanded declines as income increases, or increases and income declines. As the above effect is entirely an `income effect', we see it is equivalent to the impact of income declining. As income declined, lager consumption declined, so it is not an inferior good.

\medskip
A luxury good is one for which demand increases more than proportionally as income increases, or decreases more than proportionally as income decreases. As the only two goods consumed are consumed in \textit{fixed} proportions, the consumption of each scales proportionally in income. Thus lager is not a luxury good.

\end{solution}

\end{parts}

",,,7.0,,Algebra,,,1,,1,checked,,,,,,,,,,,,,,,
demand_cobbdoug,"solve, draw, explain","TB, redone with cobb-douglas",,Demand curves,,,,12,"\question[25] \underline{Demand curves} John M. Countryside makes \pounds 50 per week at his summer job and spends his entire weekly income on leeks and chocolate, because these are the only two items that provide utility to him. John gains utility from both of these; his utility is $U(\ell,c)=c^{\frac{1}{3}}\ell^{\frac{2}{3}}$, where $\ell$ is the number of ounces of leeks he consumes and $c$ the number of ounces of chocolate he consumes.

\begin{parts}

\part If leeks costs \pounds 2 per ounce and chocolates cost \pounds 1 per ounce, how many will John buy of each in a week? Please show your steps: state the optimisation condition and constraint and then solve. Recall the power rule for derivatives: $\frac{d}{dx}ax^{b}=bax^{b-1}$ where $b\neq0$.

\begin{solution}

\medskip

$MU_{\ell}={\frac{2}{3}}c^{\frac{1}{3}}\ell^{-\frac{1}{3}}$

$MU_{c}={\frac{1}{3}}c^{-\frac{2}{3}}\ell^{\frac{2}{3}}$

For optimisation (where the second order condition holds, and where we consume some of both so it's not a corner solution; this will be the case here, extra points if anyone mentions this and more if they derive it):

$MU_{\ell}/MU_{c}=MRS=p_{\ell}/p_{c}$

$\ensuremath{\rightarrow}{\frac{2}{3}}c^{\frac{1}{3}}\ell^{-\frac{1}{3}}/{\frac{1}{3}}c^{-\frac{2}{3}}\ell^{\frac{2}{3}}=\frac{2}{1}$

$\rightarrow2c^{\frac{1}{3}}\ell^{-\frac{1}{3}}/c^{-\frac{2}{3}}\ell^{\frac{2}{3}}=2$

$\rightarrow c\ell^{-1}=1$

$\rightarrow c=\ell$

A slightly simpler way would have been to first make a monotonic transformation of the utility function, cubing it: $(U(\ell,c))^{3}=(c^{\frac{1}{3}}\ell^{\frac{2}{3}})^{3}=c\ell^{2}$. Then $MU_{\ell}=2c\ell$ and $MU_{c}=\ell^{2}$, implying $MU_{\ell}/MU_{c}=2c\ell/l^{2}=2c/\ell$... set equal to the price ratio $2c/\ell=2\rightarrow c=\ell$.

Partial credit: We also know the above is a Cobb-Douglas utility function so expenditure shares will be constant and reflect the relative power coefficients; as the coefficient on $\ell$ is twice that on c, we will spend twice as much on $\ell$, which, as it is twice as expensive, means buying the same amount of each.

Budget constraint: $\ell+2c=50$

Substituting in:

$\ell+2\ell=50\rightarrow3\ell=50\rightarrow\text{\ensuremath{\ell}=50/3}$

$c=\ell=50/3$

Check all the budget is spent: $2(50/3)+1(50/3)=50$

\end{solution}

\part Now suppose that the price of chocolate rises to \pounds 2 per ounce. How many of each will he buy?

\begin{solution}

$MU_{\ell}/MU_{c}=MRS=2c\ell/l^{2}=2c/\ell$ still holds

Set it equal to the new price ratio: $2c/\ell=1\text{\ensuremath{\rightarrow}c=\ensuremath{\ell}/2}$

New budget constraint: $2\ell+2c=50$

Substituting in: $2\ell+\ell=50\rightarrow\ell=50/3\rightarrow c=\frac{50}{6}$

... (costs 100/3+50/3=150/3=50 ... so it adds up)

\end{solution}

",,,8.0,,Algebra,,,,,1,,,checked,,,,,checked,"\question[40] \underline{Demand curves}

Tipsy Muffinhead earns \pounds 50 per week playing banjo and spends her entire weekly income on lattes and cake, because these are the only two things that provide utility to her. Tipsy gains utility from both of these; her utility is $U(\ell,c)=c^{\frac{1}{3}}\ell^{\frac{2}{3}}$, where $\ell$ is the number of ounces of lattes she consumes and $c$ the number of ounces of cake she consumes.

\begin{parts}

\part (20 marks) If lattes cost \pounds 2 per ounce and cake costs \pounds 1 per ounce, how much will Tipsy buy of each in a week? Please show your steps: state the optimisation condition and constraint and then solve. Recall the power rule for derivatives: $\frac{d}{dx}ax^{b}=bax^{b-1}$ where $b\neq0$.


\part (5 marks) Now suppose that the price of cake rises to \pounds 2 per ounce. How much of each will she buy?


\part (15 marks) Illustrate the above optimisation, depicting Tipsy's indifference curves and her old and new budget constraints before and after the price change. Illustrate both the substitution and income effects of this price change.

\begin{solution}
$MU_{\ell}={\frac{2}{3}}c^{\frac{1}{3}}\ell^{-\frac{1}{3}}$
$MU_{c}={\frac{1}{3}}c^{-\frac{2}{3}}\ell^{\frac{2}{3}}$
For optimisation (where the second order condition holds, and where we consume some of both so it's not a corner solution; this will be the case here, extra points if anyone mentions this and more if they derive it):

$MU_{\ell}/MU_{c}=MRS=p_{\ell}/p_{c}$

$\ensuremath{\rightarrow}{\frac{2}{3}}c^{\frac{1}{3}}\ell^{-\frac{1}{3}}/{\frac{1}{3}}c^{-\frac{2}{3}}\ell^{\frac{2}{3}}=\frac{2}{1}$

$\rightarrow2c^{\frac{1}{3}}\ell^{-\frac{1}{3}}/c^{-\frac{2}{3}}\ell^{\frac{2}{3}}=2$

$\rightarrow c\ell^{-1}=1$

$\rightarrow c=\ell$

A slightly simpler way involves cubing the utility function...% would have been to first make a monotonic transformation of the utility function, cubing it: $(U(\ell,c))^{3}=(c^{\frac{1}{3}}\ell^{\frac{2}{3}})^{3}=c\ell^{2}$. Then $MU_{\ell}=2c\ell$ and $MU_{c}=\ell^{2}$, implying $MU_{\ell}/MU_{c}=2c\ell/l^{2}=2c/\ell$... set equal to the price ratio $2c/\ell=2\rightarrow c=\ell$.

Partial credit: We  know it is a Cobb-Douglas utility function so expenditure shares will be constant and reflect the relative power coefficients; as the coefficient on $\ell$ is twice that on c, we will spend twice as much on $\ell$, which, as it is twice as expensive, means buying the same amount of each.

Budget constraint: $\ell+2c=50$

Substituting in:

$\ell+2\ell=50\rightarrow 3\ell=50\rightarrow\text{\ensuremath{\ell}=50/3}$
$c=\ell=50/3$
Check all the budget is spent: $2(50/3)+1(50/3)=50$

\textbf{Second part:}
$MU_{\ell}/MU_{c}=MRS=2c\ell/l^{2}=2c/\ell$ still holds
Set it equal to the new price ratio: $2c/\ell=1\text{\ensuremath{\rightarrow}c=\ensuremath{\ell}/2}$
New budget constraint: $2\ell+2c=50$

Substituting in: $2\ell+\ell=50\rightarrow\ell=50/3\rightarrow c=\frac{50}{6}$
... (costs 100/3+50/3=150/3=50 ... so it adds up)

\textbf{Third part}: Standard diagram

\end{solution}

\end{parts}
\end{minipage}",,checked,"'alt' for mock, 'variation' for exam (tipsy)","\question[40] \underline{Demand curves} John M. Countryside earns \pounds 100 per week at his summer job and spends his entire weekly income on leeks and chocolate, because these are the only two items that provide utility to him. John gains utility from both of these; his utility is $U(\ell,c)=c^3\ell^4$, where $\ell$ is the number of ounces of leeks he consumes and $c$ the number of ounces of chocolate he consumes.

  	\begin{parts}

  		\part (10 marks) If leeks costs \pounds 2 per ounce and chocolates cost \pounds 1 per ounce, how many will John buy of each in a week? Please show your steps: state the optimisation condition and constraint and then solve. Recall the power rule for derivatives: $\frac{d}{dx}ax^{b}=bax^{b-1}$ where $b\neq0$.

  		\begin{solution}

  			$MU_{\ell}=4c^{3}\ell^{3}$

  			$MU_{c}=3c^{2}l^{4}$

  			For optimisation (where the second order condition holds, and where we consume some of both so it's not a corner solution; this will be the case here, extra points if anyone mentions this and more if they derive it):

  			$MU_{\ell}/MU_{c}=MRS=p_{\ell}/p_c$

  			$\rightarrow\frac{4c^{3}\ell^{3}}{3c^{2}l^{4}}=\frac{2}{1}$

  			$\rightarrow\frac{c^{3}\ell^{3}}{c^{2}l^{4}}=2\times\frac{3}{4}$

  			$\rightarrow\frac{c}{\ell}=\frac{3}{2}$

  			$\rightarrow \ell=\frac{2}{3}c$

  			Partial credit: We also know the above is a Cobb-Douglas utility function so expenditure shares will be constant and reflect the relative power coefficients; as the coefficient on $\ell$ is 1/3 greater than that of c, we will spend 1/3 more on $\ell$, which, as it is twice as expensive ... this  means buying 2/3 as many units of $\ell$ (note that $2/3 \times 2 = 4/3$, i.e., spending 1/3 more).

  			Budget constraint: $2\ell+c=100$

  			Substituting in:

  			$2\times \frac{2}{3}c +c =100\rightarrow \frac{7}{3}c =100\rightarrow c=100\times\frac{3}{7}$ (about 43)

  			$\ell=\frac{2}{3}c=\frac{2}{3}\times\frac{3}{7}\times100=\frac{6}{21}\times100$ (about 29)

  			(Note 3/7=9/21.) /

  			Check all the budget is spent: $100\times(\frac{9}{21}+2\frac{6}{21})=(21/21)\times 100=100$, and note that 12/21 is 1/3 greater than 9/21, as promised.

  		\end{solution}

 \part (10 marks) For the above example, plot John's budget constraint and several indifference curves (approximately), with chocolate (c) on the vertical axis and leeks ($\ell$) on the horizontal axis. Use this diagram to illustrate the condition for his optimised consumption choice described above.

  		\begin{solution}
  			This diagram is straightforward; downward sloping (at a diminishing rate) dmrs indifference curves that asymptote but never hit the X or Y axes. The optimisation point should be where the price ratio equals the slope of an indifference curve. The budget constraint will be linear, connecting the points $\ell=0,c=100$ and $\ell=50,c=0$, with slope -1/2.
  		\end{solution}

  		\part (10 marks) Are leeks an `absolute necessity' for John? I.e., will John consume a positive amount of leeks for \textit{any} positive prices and income? Is chocolate a necessity for John? I.e., will he consume a positive amount of chocolate for \textit{any} positive prices and income? Explain and show why this is (or is not) the case in words, in a diagram, and mathematically, if possible. 

  		\begin{solution}
  			Both are neccessities. You can show that the MRS (the amount of one you'd be willing to give up for a unit of the other) goes to infinite as the consumption of either goes to zero. You can make a rough argument for this from the fact that the utility function is multiplicative, so it goes to zero as consumption of either goes to zero This can be illustrated with indifference curves that asymptote but never hit the X or Y axes.
  		\end{solution}

\part (10 marks) Are chocolates 'Giffen goods' for John? Explain why or why not, and graphically depicting substitution and income effects (for a general case like this one).
\begin{solution}
As mentioned (and see notes in handout), for Cobb-Douglas functions expenditure on each good is a constant share of income. This implies that neither good is inferior, both are normal goods. As a Giffen good \textit{must} be inferior (but not vice versa), chocolate is clearly not a Giffen good. 

You should illustrate this drawing the 'u-shaped' indifference curve, which should never touch the axes (as these are 'absolute necessities', and illustrating the substitution, income, and total effect of a price change. (There are many such illustrations in the handouts, text, etc.)
  \end{solution}

\end{parts}",,,checked
mrts_define,"define, explain",,,Production,,,,5,"Consider a firm with a production function $f(K,L)$. Define the 'rate of technical substitution' and explain what it means in 25 words or less.",,,8.0,,Definition involves calculus,,,,,,,,,,,,,,,,,,,,,
giffengood,"define, explain",,,Demand curves,,,,8,"Explain what a 'Giffen good' is. (Please include a diagram depicting substitution and income effects). 
",,,7.0,,Optional,,1,,,,,,,,,,,,,,checked,,,,,
transitive_preferences,"define, explain",,1,Economic models,preferences,,,5,"\part (9 marks) What are 'transitive preferences'? Give an example of a person making choices that seem to reflect preferences that are \textit{not} transitive, and explain how you could 'pump money' from this person.

\begin{solution}
Transitivity (internal consistency): If I prefer A to B, and prefer B to C, then I must prefer A to C.

If 'Intransitive Eddy' is offered 1 apple and 1 banana and 1p, he chooses the apple. If he is offered 1 banana versus 1 cherry and 1p, he chooses the banana. If he is offered 1 cherry versus 1 apple and 1p, he chooses the cherry.

Pump money from him: Buy an apple, a banana, and a cherry. Get him to buy a banana from you. Get him pay you 1p to trade his banana for your apple. Then get him to pay 1p to trade his apple for your cherry. Then get him to pay 1p to trade his cherry for your banana. Then get him to pay 1p to trade his banana for your apple. Repeat ad nauseum.

\end{solution}",,,8.0,,sort of,,,,,,,,,,,,,,,,,,,,,
evidence_transitive_preferences,discuss evidence,,,Economic models,"behavioural, experimental",,,10,Discuss the empirical (including experimental) evidence on whether people's preferences are transitive.,,,,,no,,,,,,,,,,,,,,,,,,,,,
zero_profits,explain,handout,9,Perfect competition,,,,8,"In the standard model of perfect competition, in the long run firms get 'zero economic profits' Explain why, in 150 words or less, using diagrams, equations, and bullet points as necessary.
Here we assume 'free entry and exit' of firms, and a large number of firms have access to the same production process.

Ans: - Suppose *positive economic profits* in industry (for efficient producers)
- I.e., $P^*>AC(q)$ for some q
    - $\rightarrow$ Firms enter
    - $\rightarrow$ Supply curve shifts out
    - $\rightarrow$ equilibrium price declines
    - $\rightarrow$ profits decline
    - repeat until economic profit falls to zero
    - i.e., until $P^*=AC(q)$ for the minimum AC q

\pdfnote{Positive economic profits are sometimes called 'supernormal profits.' \textCR
 Remember, economic profits are profits *after* subtracting the (opportunity) cost of capital, management, and other inputs}

***

- Now suppose *negative economic profits* in industry (for efficient producers)
- I.e., $P^*<AC(q)$ for any q
    - $\rightarrow$ Firms exit
    - $\rightarrow$ Supply curve shifts inwards
    - $\rightarrow$ equilibrium price rises
    - $\rightarrow$ profits rise
    - repeat until economic profit rises to zero
    - i.e., until $P^*=AC(q)$ for the minimum AC q

",,,5.0,,no,,,,,,checked,checked,,,,,,,"\part (20 marks) \textit{Please try to answer in no more than one side of a page, plus any relevant diagrams.} In the standard model of perfect competition, in the long run  price may rise, fall, or stay the same in response to an outward shift in the demand curve.    Explain why, using diagrams, equations, and bullet points as necessary. %Furthermore, in the long run,

\begin{solution}
Here we assume 'free entry and exit' of firms, and a large number of firms have access to the same production process.

 Suppose *positive economic profits* in industry (for efficient producers)
- I.e., $P^*>AC(q)$ for some q
    - $\rightarrow$ Firms enter
    - $\rightarrow$ Supply curve shifts out
    - $\rightarrow$ equilibrium price declines
    - $\rightarrow$ profits decline
    - repeat until economic profit falls to zero
    - i.e., until $P^*=AC(q)$ for the minimum AC q

Positive economic profits are sometimes called 'supernormal profits.'  Remember, economic profits are profits *after* subtracting the (opportunity) cost of capital, management, and other inputs

- Now suppose *negative economic profits* in industry (for efficient producers)
- I.e., $P^*<AC(q)$ for any q
    - $\rightarrow$ Firms exit
    - $\rightarrow$ Supply curve shifts inwards
    - $\rightarrow$ equilibrium price rises
    - $\rightarrow$ profits rise
    - repeat until economic profit rises to zero
    - i.e., until $P^*=AC(q)$ for the minimum AC q

\end{solution} ",,checked,variation for final,,,,checked
christmas,"discussion, articles",own,,Behavioural,,,,15,"A. Does Christmas gift-giving reduce welfare? Present the case for this and discuss the evidence presented in Waldfolgel (1993), ""The deadweight loss of Christmas."" B. Discuss the critiques of this evidence, and present at least one model in which Christmas giving may *increase* welfare. (Please try to use no more than four sides of the page).",,,9.0,,,,,,,1,,,,,,,,,,,,,,,,
whymodels,"discussion, articles",own,1,Economic models,,,,15,"A. What are the purpose or purposes of 'economic models'? Is it a problem if models are based on 'unrealistic' assumptions? Discuss with reference to Friedman, Milton. ""The methodology of positive economics."" (1953)",,,8.0,,,,,,,1,,,,,,,,,,,,,,,,
define_justify_Rat,"define, explain",,,Game theory,rationalizability,,,,"\begin{minipage}{\linewidth}
\part (12.5 marks) Define the concept of `Rationalisability' (related to `Iterated Strict Dominance'). Why and when should we expect people's behaviour in a game to be consistent (or inconsistent) with Rationalisability? Please keep your answer under 100 words, plus any diagrams and equations you deem necessary.
\end{minipage}

\begin{solution}

Rationality assumption: the players are rational (choose to maximise own payoffs given a set of beliefs)
\begin{itemize}
  \item  We know rational players will not play dominated strategies
  \item The players themselves know this.
\end{itemize}

Common Knowledge of Rationality assumption:

The players know all other players are rational. The players know all players know all players are rational.  The players know (all players know ' ad infinitum) all players are rational.

\begin{itemize}
  \item  Thus the players know what the other players will never do, and eliminate these from consideration
  \item The players will not play a strategy if another strategy is always better against this reduced set of possibilities
  \item Etc.
  \item  This process is called 'Iterated Strict Dominance' (ISD)
  \item  We will call strategies that survive ISD 'rationalizable' strategies (this is not the technical definition but it is very close)
\end{itemize}

More technically: If a player is not playing a \textit{rational} strategy, there is \textit{no belief} about the other player's (or all the other players', more generally) strategy that could justify this play. If he is not playing the best response to \textit{some} rational strategy of the other, there is no belief about the other's play consistent with the other player's rationality that would justify this strategy. Iterating this process of thinking yields the direct definition of rationalisability.


Individuals may play strategies that are not rationalizable if they don't believe the other player(s) is/are rational, or don't believe the other players believe others are rational, etc.
They may also have limited cognitive power to compute a rationalizable strategy, or this may be too costly to justify the benefit.
\end{solution}

",,,,,,,,,,,,,checked,checked,,,,,,,,,,,,
